id	idx	taskidx	option	temporal	status
418	36	9	UNSAT	LOW	0
419	11	10	SAT	HIGH	0
420	36	10	SAT	LOW	0
421	11	11	MIDSAT	HIGH	0
422	36	11	MIDSAT	LOW	0
423	11	12	HIDDEN	HIGH	0
424	36	12	HIDDEN	LOW	0
425	11	13	HIDDEN	HIGH	0
426	36	13	HIDDEN	LOW	0
427	11	14	SAT	HIGH	0
428	36	14	SAT	LOW	0
429	11	15	MIDSAT	HIGH	0
430	36	15	MIDSAT	LOW	0
431	11	16	UNSAT	HIGH	0
432	36	16	UNSAT	LOW	0
433	11	17	SAT	HIGH	0
434	36	17	SAT	LOW	0
435	11	18	HIDDEN	HIGH	0
436	36	18	HIDDEN	LOW	0
437	11	19	HIDDEN	HIGH	0
438	36	19	HIDDEN	LOW	0
439	11	20	HIDDEN	HIGH	0
440	36	20	HIDDEN	LOW	0
441	12	1	HIDDEN	HIGH	0
442	37	1	HIDDEN	LOW	0
443	12	2	UNSAT	HIGH	0
444	37	2	UNSAT	LOW	0
445	12	3	SAT	HIGH	0
446	37	3	SAT	LOW	0
447	12	4	MIDSAT	HIGH	0
448	37	4	MIDSAT	LOW	0
449	12	5	HIDDEN	HIGH	0
450	37	5	HIDDEN	LOW	0
451	12	6	HIDDEN	HIGH	0
452	37	6	HIDDEN	LOW	0
453	12	7	SAT	HIGH	0
454	37	7	SAT	LOW	0
455	12	8	SAT	HIGH	0
456	37	8	SAT	LOW	0
457	12	9	MIDSAT	HIGH	0
458	37	9	MIDSAT	LOW	0
459	12	10	HIDDEN	HIGH	0
460	37	10	HIDDEN	LOW	0
461	12	11	HIDDEN	HIGH	0
462	37	11	HIDDEN	LOW	0
463	12	12	MIDSAT	HIGH	0
464	37	12	MIDSAT	LOW	0
465	12	13	SAT	HIGH	0
466	37	13	SAT	LOW	0
467	12	14	UNSAT	HIGH	0
468	37	14	UNSAT	LOW	0
469	12	15	HIDDEN	HIGH	0
470	37	15	HIDDEN	LOW	0
471	12	16	HIDDEN	HIGH	0
472	37	16	HIDDEN	LOW	0
473	12	17	UNSAT	HIGH	0
474	37	17	UNSAT	LOW	0
475	12	18	MIDSAT	HIGH	0
476	37	18	MIDSAT	LOW	0
477	12	19	HIDDEN	HIGH	0
478	37	19	HIDDEN	LOW	0
479	12	20	UNSAT	HIGH	0
480	37	20	UNSAT	LOW	0
481	13	1	UNSAT	HIGH	0
482	38	1	UNSAT	LOW	0
483	13	2	SAT	HIGH	0
484	38	2	SAT	LOW	0
485	13	3	MIDSAT	HIGH	0
486	38	3	MIDSAT	LOW	0
487	13	4	HIDDEN	HIGH	0
488	38	4	HIDDEN	LOW	0
